player_name,year,avg_points,pos_rank,total_points
Antonio Gandy-Golden,2021,0.0,WR0,0.0
Darren Fells,2021,1.57,TE90,6.3
Kalen Ballage,2021,0.49,RB135,5.4
Tavon Austin,2021,3.58,WR123,39.4
Terry Godwin,2021,0.0,WR0,0.0
Tyler Eifert,2021,0.0,TE0,0.0
Isaiah McKenzie,2021,2.83,WR118,42.5
DeAndre Hopkins,2021,12.62,WR43,126.2
Sony Michel,2021,7.99,RB30,135.8
Rodrigo Blankenship,2021,8.4,K33,42.0
Nick Chubb,2021,14.66,RB11,205.3
Cordarrelle Patterson,2021,13.04,RB9,208.6
Keenan Allen,2021,12.8,WR14,204.8
Le'Veon Bell,2021,4.45,RB88,35.6
Giovani Bernard,2021,4.76,RB76,47.6
Zach Ertz,2021,8.45,TE5,143.7
Mike Glennon,2021,5.05,QB47,30.3
Marquise Goodwin,2021,3.37,WR113,47.2
Travis Kelce,2021,13.55,TE2,216.8
Vance McDonald,2021,0.0,TE0,0.0
C.J. Conrad,2021,0.0,TE0,0.0
Jordan Reed,2021,0.0,TE0,0.0
Geno Smith,2021,13.5,QB41,54.0
Eno Benjamin,2021,2.78,RB98,25.0
Robert Woods,2021,12.74,WR49,114.7
Ryan Griffin,2021,3.69,TE37,51.6
Latavius Murray,2021,7.04,RB49,98.6
Kenjon Barner,2021,0.0,RB167,0.0
Michael Walker,2021,0.0,WR0,0.0
Alex McGough,2021,0.0,QB0,0.0
Matt Barkley,2021,0.0,QB0,0.0
Jermar Jefferson,2021,5.92,RB101,23.7
Preston Williams,2021,1.54,WR170,10.8
John Kelly,2021,0.65,RB156,1.3
Dustin Hopkins,2021,8.41,K10,143.0
Chris Thompson,2021,0.0,RB0,0.0
Rex Burkhead,2021,6.12,RB55,91.8
Levine Toilolo,2021,0.0,TE0,0.0
Theo Riddick,2021,0.0,RB0,0.0
Kyle Juszczyk,2021,3.67,RB68,58.8
Quinn Nordin,2021,0.0,K0,0.0
Kenny Stills,2021,1.99,WR156,15.9
Spencer Ware,2021,0.0,RB0,0.0
Chris Evans,2021,3.85,RB82,42.3
Laviska Shenault Jr.,2021,5.97,WR60,95.5
D'Andre Swift,2021,13.68,RB19,177.9
Devin Asiasi,2021,0.0,TE0,0.0
C.J. Anderson,2021,0.0,RB0,0.0
Ty Johnson,2021,6.25,RB47,100.0
DJ Moore,2021,11.24,WR19,191.0
KJ Hill Jr.,2021,0.75,WR196,4.5
Stephen Carlson,2021,0.0,TE0,0.0
Joe Burrow,2021,19.57,QB8,313.2
Shi Smith,2021,2.62,WR163,13.1
Tyler Conklin,2021,6.34,TE17,107.8
Luke Willson,2021,0.0,TE0,0.0
Ryan Griffin,2021,0.0,QB0,0.0
Josh Hill,2021,0.0,TE0,0.0
Kelvin McKnight,2021,0.0,WR0,0.0
Jaron Brown,2021,0.0,WR0,0.0
Salvon Ahmed,2021,2.96,RB90,32.6
Hunter Bryant,2021,0.0,TE0,0.0
Mike Weber,2021,0.0,RB0,0.0
Trishton Jackson,2021,0.0,WR0,0.0
Amon-Ra St. Brown,2021,11.39,WR21,182.3
Russell Shepard,2021,0.0,WR0,0.0
Chase Claypool,2021,9.14,WR37,137.1
Josh Lambo,2021,0.67,K46,2.0
Tyler Bray,2021,0.0,QB0,0.0
Josh Johnson,2021,0.0,RB[],0.0
Tony Jones Jr.,2021,1.78,RB105,19.6
Ian Book,2021,2.0,QB66,2.0
Kylin Hill,2021,0.43,RB144,3.4
